======================================================================
전체 스킬 데이터 분석
======================================================================

총 스킬 수: 1344
배율 = 100% (기본값): 1005
타수 = 1회: 1276

======================================================================
4차 직업 스킬 분석 (접두사별)
======================================================================


### ABC 스킬 (16개) ###
--------------------------------------------------
  ABC_ABYSS_STRIKE                         오메가 어비스 스트라이크         26500% x1회
  ABC_HIT_AND_SLIDING                      히트 앤드 슬라이딩            17500% x1회
  ABC_CHASING_SHOT                         체이싱 샷                 11200% x1회
  ABC_FRENZY_SHOT                          프렌지 샷                  8250% x1회
  ABC_ABYSS_DAGGER                         어비스 대거                 7350% x1회
  ABC_FROM_THE_ABYSS                       프롬 디 어비스               7350% x1회
  ABC_DEFT_STAB                            데프트 스탭                 5400% x7회
  ABC_CHASING_BREAK                        체이싱 브레이크               5200% x7회
  ABC_CHAIN_REACTION_SHOT                  체인 리액션 샷               4250% x1회
  ABC_UNLUCKY_RUSH                         언럭키 러쉬                 1700% x1회
  ABC_ABYSS_SQUARE                         어비스 스퀘어                 980% x7회
  ABC_ABYSS_SLAYER                         어비스 슬레이어                100% x1회
  ABC_ABYSS_FLAME                          어비스 플레임                 100% x1회
  ABC_MAGIC_SWORD_M                        매직소드 마스터리               100% x1회
  ABC_STRIP_SHADOW                         스트립 쉐도우                 100% x1회
  ABC_DAGGER_AND_BOW_M                     대거&보우 마스터리              100% x1회

### MT 스킬 (16개) ###
--------------------------------------------------
  MT_RUSH_QUAKE                            러쉬 퀘이크                28800% x1회
  MT_SPARK_BLASTER                         스파크 블래스터              14600% x1회
  MT_TRIPLE_LASER                          트리플 레이저                6400% x1회
  MT_POWERFUL_SWING                        파워풀 스윙                 4550% x1회
  MT_ENERGY_CANNONADE                      에너지 캐노네이드              4000% x1회
  MT_RUSH_STRIKE                           러쉬 스트라이크               3800% x1회
  MT_MIGHTY_SMASH                          마이티 스매쉬                2480% x1회
  MT_SUMMON_ABR_MOTHER_NET                 ABR-마더넷                 100% x2회
  MT_SUMMON_ABR_INFINITY                   ABR-인피니티                100% x1회
  MT_SUMMON_ABR_DUAL_CANNON                ABR-듀얼캐논                100% x2회
  MT_SUMMON_ABR_BATTLE_WARIOR              ABR-배틀워리어               100% x2회
  MT_AXE_STOMP                             액스 스톰프                  100% x1회
  MT_D_MACHINE                             방어 장치 활성화               100% x1회
  MT_A_MACHINE                             공격 장치 활성화               100% x1회
  MT_M_MACHINE                             장치 제조                   100% x1회
  MT_ABR_M                                 ABR 마스터리                100% x1회

### SH 스킬 (23개) ###
--------------------------------------------------
  SHC_FATAL_SHADOW_CROW                    페이탈 쉐도우 크로우           11700% x1회
  SHC_CROSS_SLASH                          크로스 슬래쉬                3500% x1회
  SH_CHUL_HO_BATTERING                     철호 난무                  2100% x5회
  SHC_ETERNAL_SLASH                        이터널 슬래쉬                1500% x1회
  SHC_SHADOW_EXCEED                        쉐도우 익시드                1050% x1회
  SHC_DANCING_KNIFE                        댄싱 나이프                 1000% x3회
  SHC_SAVAGE_IMPACT                        세비지 임팩트                 840% x1회
  SH_MYSTICAL_CREATURE_MASTERY             영물 이해                   100% x1회
  SH_SANDY_FESTIVAL_OF_KI_SUL              귀설 모래축제                 100% x1회
  SH_MARINE_FESTIVAL_OF_KI_SUL             귀설 바다축제                 100% x1회
  SH_KI_SUL_WATER_SPRAYING                 귀설 물뿌리개                 100% x1회
  SH_HYUN_ROK_SPIRIT_POWER                 현록의 영력 발휘               100% x1회
  SH_HYUN_ROKS_BREEZE                      현록의 잎새바람                100% x1회
  SH_HOWLING_OF_CHUL_HO                    철호 포효                   100% x1회
  SH_COMMUNE_WITH_KI_SUL                   영물 교감 - 귀설              100% x1회
  SH_COMMUNE_WITH_HYUN_ROK                 영물 교감 - 현록              100% x1회
  SH_COMMUNE_WITH_CHUL_HO                  영물 교감 - 철호              100% x1회
  SH_COLORS_OF_HYUN_ROK                    현록의 오색뿔                 100% x1회
  SH_CHUL_HO_SONIC_CLAW                    철호 허공할퀴기                100% x1회
  SH_BLESSING_OF_MYSTICAL_CREATURES        영물들의 축복                 100% x1회
  SHC_POTENT_VENOM                         포텐트 베넘                  100% x1회
  SHC_ENCHANTING_SHADOW                    인챈팅 쉐도우                 100% x1회
  SH_TEMPORARY_COMMUNION                   급속 교감                   100% x1회

### WH 스킬 (12개) ###
--------------------------------------------------
  WH_WILD_WALK                             와일드 워크                15800% x1회
  WH_FLAMETRAP                             플레임 트랩                13500% x3회
  WH_HAWKBOOMERANG                         호크 부메랑                 6750% x1회
  WH_HAWK_M                                호크 마스터리                2500% x2회
  WH_HAWKRUSH                              호크 러쉬                  2500% x2회
  WH_SWIFTTRAP                             스위프트 트랩                 100% x1회
  WH_SOLIDTRAP                             솔리드 트랩                  100% x1회
  WH_NATUREFRIENDLY                        자연 친화                   100% x1회
  WH_ADVANCED_TRAP                         어드밴스드 트랩                100% x1회
  WH_DEEPBLINDTRAP                         딥 블라인드 트랩               100% x1회
  WH_CALAMITYGALE                          캘러미티 가일                 100% x1회
  WH_WIND_SIGN                             윈드 사인                   100% x1회

### IG 스킬 (13개) ###
--------------------------------------------------
  IG_JUDGEMENT_CROSS                       저지먼트 크로스              19500% x1회
  IG_GRAND_JUDGEMENT                       그랜드 저지먼트              15250% x1회
  IG_ATTACK_STANCE                         어택 스탠스                  100% x1회 ⚠️ 파싱실패?
  IG_SPEAR_SWORD_M                         스피어&소드 마스터리             100% x1회
  IG_SHIELD_SHOOTING                       쉴드 슈팅                   100% x1회
  IG_REBOUND_SHIELD                        리바운드 쉴드                 100% x1회
  IG_RADIANT_SPEAR                         래디언트 스피어                100% x1회
  IG_IMPERIAL_PRESSURE                     임페리얼 프레셔                100% x1회
  IG_IMPERIAL_CROSS                        임페리얼 크로스                100% x1회
  IG_HOLY_SHIELD                           홀리 쉴드                   100% x1회
  IG_GUARD_STANCE                          가드 스탠스                  100% x1회
  IG_GUARDIAN_SHIELD                       가디언 쉴드                  100% x1회
  IG_ULTIMATE_SACRIFICE                    얼티메이트 세크리파이스            100% x1회

### IQ 스킬 (14개) ###
--------------------------------------------------
  IQ_EXPOSION_BLASTER                      폭화신탄                  23000% x1회
  IQ_BLAZING_FLAME_BLAST                   열화기탄                  21000% x3회
  IQ_MASSIVE_F_BLASTER                     염화멸마신탄                20700% x1회
  IQ_OLEUM_SANCTUM                         성유세례                  10500% x1회
  IQ_THIRD_EXOR_FLAME                      제2격 : 신념               9450% x1회
  IQ_THIRD_PUNISH                          제3격 : 단죄               9450% x1회
  IQ_FIRST_BRAND                           제1격 : 낙인               6000% x1회
  IQ_FIRST_FAITH_POWER                     제1장 : 신념의 힘            5850% x3회
  IQ_THIRD_CONSECRATION                    제3격 : 정화               3500% x1회
  IQ_SECOND_JUDGEMENT                      제2격 : 멸마지화              100% x1회
  IQ_SINCERE_FAITH                         신실한 신념                  100% x1회
  IQ_FIRM_FAITH                            굳건한 신념                  100% x1회
  IQ_THIRD_FLAME_BOMB                      제3격 : 멸화격               100% x1회
  IQ_POWERFUL_FAITH                        강인한 신념                  100% x1회

### CD 스킬 (14개) ###
--------------------------------------------------
  CD_PNEUMATICUS_PROCELLA                  프네우마티쿠스 프로첼라           3300% x1회
  CD_DIVINUS_FLOS                          디비누스 플로스               3300% x1회
  CD_ARBITRIUM                             아르비트리움                  100% x1회
  CD_RELIGIO                               렐리지오                    100% x1회
  CD_PRESENS_ACIES                         프레센스 아치에스               100% x1회
  CD_MEDIALE_VOTUM                         메디알레 보툼                 100% x1회
  CD_MACE_BOOK_M                           메이스&북 마스터리              100% x1회
  CD_FIDUS_ANIMUS                          피두스 아니무스                100% x1회
  CD_EFFLIGO                               에플리고                    100% x1회
  CD_COMPETENTIA                           콤페텐티아                   100% x1회
  CD_BENEDICTUM                            베네딕툼                    100% x1회
  CD_ARGUTUS_VITA                          아르구투스 비타                100% x1회
  CD_ARGUTUS_TELUM                         아르구투스 텔룸                100% x1회
  CD_REPARATIO                             레파라티오                   100% x1회

### EM 스킬 (33개) ###
--------------------------------------------------
  EM_SUMMON_ELEMENTAL_ARDOR                서몬 엘레멘탈 아르도르          27050% x1회
  EM_ELEMENTAL_BUSTER                      엘레멘탈 버스터              27050% x1회
  EM_SUMMON_ELEMENTAL_TERREMOTUS           서몬 엘레멘탈 테레모투스         27050% x1회
  EM_SUMMON_ELEMENTAL_SERPENS              서몬 엘레멘탈 세르펜스          27050% x1회
  EM_SUMMON_ELEMENTAL_PROCELLA             서몬 엘레멘탈 프로첼라          27050% x1회
  EM_SUMMON_ELEMENTAL_DILUVIO              서몬 엘레멘탈 딜루비오          27050% x1회
  EM_PSYCHIC_STREAM                        사이킥 스트림               18500% x1회
  EM_DIAMOND_STORM                         다이아몬드 스톰              12500% x1회
  EM_CONFLAGRATION                         컨프래그레이션                6200% x1회
  EM_ACTIVITY_BURN                         액티비티 번                 5850% x1회
  EM_INCREASING_ACTIVITY                   인크리징 액티비티               210% x50회
  EM_SPELL_ENCHANTING                      스펠 인챈팅                  100% x1회
